,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Rikitea,PF,78.67,-23.1203,-134.9692,few clouds,Pension Maro'i
3,Carnarvon,AU,75.2,-24.8667,113.6333,light rain,Hospitality Carnarvon
7,Avarua,CK,78.8,-21.2078,-159.775,overcast clouds,Paradise Inn
8,Atar,MR,72.63,20.5169,-13.0499,broken clouds,Oumou Elghoura
17,Pinotepa Nacional,MX,71.89,16.3167,-98.0167,clear sky,Hotel Maria Del Carmen
18,Upata,VE,75.0,8.0086,-62.3989,overcast clouds,Posada Villa Nela
20,Namatanai,PG,81.09,-3.6667,152.4333,moderate rain,Namatanai Hotel
24,Hilo,US,71.6,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
30,Itaituba,BR,72.19,-4.2761,-55.9836,light rain,Hotel Campos
34,Cabo San Lucas,MX,70.0,22.8909,-109.9124,overcast clouds,Hotel Tesoro Los Cabos
35,Puerto Ayora,EC,74.8,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
36,Kapaa,US,71.6,22.0752,-159.319,clear sky,Sheraton Kauai Resort at Coconut Beach
37,Vaini,TO,78.8,-21.2,-175.2,few clouds,Keleti Beach Resort
43,Faanui,PF,82.69,-16.4833,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
45,Caohai,CN,70.36,26.8661,104.2841,broken clouds,Jinhua Hotel
49,Isangel,VU,86.0,-19.55,169.2667,broken clouds,Volcano Sea View Tree House
63,Victoria,HK,80.6,22.2855,114.1577,few clouds,Mini Hotel Central
65,Doha,QA,88.0,25.2867,51.5333,clear sky,Movenpick Hotel Doha
68,Cidreira,BR,74.19,-30.1811,-50.2056,overcast clouds,Hotel Castelo
70,Kapit,MY,89.15,2.0167,112.9333,overcast clouds,Hotel Meligai Kapit
74,Port Alfred,ZA,70.38,-33.5906,26.891,overcast clouds,The Halyards Hotel
75,Butaritari,KI,81.7,3.0707,172.7902,light rain,Isles Sunset Lodge
77,Tautira,PF,84.0,-17.7333,-149.15,scattered clouds,Pension Oaoa
79,Teahupoo,PF,84.0,-17.8333,-149.2667,scattered clouds,Vanira Lodge
83,Cuitlahuac,MX,80.01,18.8167,-96.7167,broken clouds,Empacadora Sierra Madre
87,Maceio,BR,71.6,-9.6658,-35.7353,mist,Poutur Pousada
90,Fram,PY,77.0,-26.9833,-55.8833,light rain,Albergue Ja'umina
101,Saint-Philippe,RE,82.4,-21.3585,55.7679,light rain,"Chambres d'hôte ""La Trinité"""
105,Veraval,IN,89.01,20.9,70.3667,clear sky,Lords Inn Somnath
106,Phuket,TH,90.0,8.0,98.25,few clouds,The Surin Phuket
107,Bilma,NE,79.07,18.6853,12.9164,clear sky,Expeditions Ténére voyages
109,Kawalu,ID,85.95,-7.3817,108.2082,overcast clouds,KOSAN UNGU UNSIK
112,Atuona,PF,80.78,-9.8,-139.0333,broken clouds,Villa Enata
116,Alice Springs,AU,77.0,-23.7,133.8833,scattered clouds,Desert Palms Alice Springs
117,Airai,TL,71.98,-8.9266,125.4092,broken clouds,Juvinal Martin
121,Mahebourg,MU,82.4,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
122,San Patricio,US,71.6,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
125,Pampierstad,ZA,73.62,-27.7832,24.6877,clear sky,BAROLONG METHODIST CHURCH
126,Richards Bay,ZA,73.35,-28.783,32.0377,few clouds,BON Hotel Waterfront Richards Bay
128,Sechura,PE,72.12,-5.5569,-80.8222,overcast clouds,Hospedaje Costa Bella
132,Vanimo,PG,81.73,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
136,Bambous Virieux,MU,82.4,-20.3428,57.7575,broken clouds,Casa Tia Villa
140,Conceicao Do Araguaia,BR,75.2,-8.2578,-49.2647,clear sky,Tarumã Tropical Hotel
141,Salvador,SV,77.0,13.8333,-88.9167,few clouds,Chico's Ranch
142,Hambantota,LK,89.6,6.1241,81.1185,scattered clouds,Bungalow 63
144,Bengkulu,ID,84.85,-3.8004,102.2655,scattered clouds,Grage Hotel Bengkulu
145,Pundaguitan,PH,82.18,6.3711,126.1689,light rain,Leonardo Family Beach House 1
150,Quatre Cocos,MU,82.4,-20.2078,57.7625,broken clouds,Emeraude Beach Attitude Hotel
156,Dali,CN,72.97,25.7,100.1833,scattered clouds,Dali Travelling With Hostel
157,Inhambane,MZ,78.8,-23.865,35.3833,few clouds,Oceano
161,Bathsheba,BB,78.8,13.2167,-59.5167,volcanic ash,Atlantis Hotel
162,Port Blair,IN,87.8,11.6667,92.75,scattered clouds,Welcomhotel Bay Island Port Blair
164,Itarema,BR,77.04,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
168,Ahuimanu,US,73.4,21.4447,-157.8378,broken clouds,Paradise Bay Resort
178,Waingapu,ID,85.35,-9.6567,120.2641,broken clouds,Pondok Wisata Elim
179,Sao Filipe,CV,74.03,14.8961,-24.4956,clear sky,Tortuga B&B
182,La Union,PE,74.28,-5.4,-80.75,overcast clouds,Los Portales
184,Rockhampton,AU,84.2,-23.3833,150.5,overcast clouds,Mercure Rockhampton
188,San Policarpo,PH,83.37,12.1791,125.5072,overcast clouds,JM Lodge
189,Kahului,US,73.4,20.8947,-156.47,few clouds,Maui Seaside Hotel
198,Eyl,SO,84.36,7.9803,49.8164,clear sky,Amiin Hotel
200,Kiunga,PG,82.78,-6.1219,141.2906,broken clouds,Airport Lodge Kiunga
203,Taitung,TW,78.8,22.7583,121.1444,broken clouds,Taitung Bali Suites Hotel
210,Bida,NG,79.47,9.0833,6.0167,scattered clouds,Royal Suite
214,Hobyo,SO,85.37,5.3505,48.5268,scattered clouds,Halane Hotel and Restaurent
218,Arraial Do Cabo,BR,73.56,-22.9661,-42.0278,clear sky,Pousada Porto Praia
219,Shenzhen,CN,78.8,22.5455,114.0683,few clouds,Shenzhen Shanghai Hotel
220,Pucallpa,PE,71.64,-8.3791,-74.5539,overcast clouds,Hospedaje Komby
221,Lethem,GY,76.37,3.3803,-59.7968,overcast clouds,Savannah Inn
