City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Rikitea,PF,-23.1203,-134.9692,78.67,75,24,11.95,few clouds
Fuyu,CN,45.1833,124.8167,68.58,28,71,18.81,broken clouds
Ushuaia,AR,-54.8,-68.3,42.8,81,75,21.85,light intensity drizzle
Carnarvon,AU,-24.8667,113.6333,75.2,100,75,42.57,light rain
Buzdyak,RU,54.5833,54.55,48.69,69,100,12.62,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,48.2,61,40,37.98,scattered clouds
Port Hedland,AU,-20.3167,118.5667,93.2,49,66,11.5,broken clouds
Avarua,CK,-21.2078,-159.775,78.8,94,97,1.14,overcast clouds
Atar,MR,20.5169,-13.0499,72.63,27,51,12.5,broken clouds
Sioux Lookout,CA,50.1001,-91.917,37.4,87,90,4.61,light intensity drizzle
Upernavik,GL,72.7868,-56.1549,11.41,83,68,7.23,broken clouds
Kodiak,US,57.79,-152.4072,33.8,75,90,6.91,overcast clouds
Tilichiki,RU,60.4667,166.1,12.97,74,100,20.74,overcast clouds
Novyy Urengoy,RU,66.0833,76.6333,34.43,87,100,14.29,overcast clouds
Qaanaaq,GL,77.484,-69.3632,11.46,85,100,7.4,overcast clouds
Torbay,CA,47.6666,-52.7314,36.0,100,90,11.5,fog
Bulawayo,ZW,-20.15,28.5833,62.01,67,0,8.57,clear sky
Pinotepa Nacional,MX,16.3167,-98.0167,71.89,77,3,3.11,clear sky
Upata,VE,8.0086,-62.3989,75.0,95,93,2.91,overcast clouds
Khatanga,RU,71.9667,102.5,29.03,95,100,12.77,light snow
Namatanai,PG,-3.6667,152.4333,81.09,81,97,11.18,moderate rain
Ribeira Grande,PT,38.5167,-28.7,62.42,85,95,13.6,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,60.01,68,98,3.0,overcast clouds
Berdigestyakh,RU,62.0989,126.6992,16.84,86,100,11.18,light snow
Hilo,US,19.7297,-155.09,71.6,68,90,4.61,overcast clouds
Turcianske Teplice,SK,48.8623,18.8605,46.0,75,0,2.3,clear sky
Tasiilaq,GL,65.6145,-37.6368,28.4,46,23,24.16,few clouds
